Year,Month,Total_Tax_Revene,Total grants,other_revenue,Date,Agriculture,Human capital development,General total expenditure,Total Central Gov't spending,Total Local Gov't spending,Core Inflation,Purchasing Managers Index,Composite Economic Activity Index,Exchange_rate,Fiscal Balance,Fiscal_Balance,revenue_growth_rate,expenditure_growth_rate,revenue_expenditure_ratio,tax_share,grant_share,health_expenditure_share,agriculture_expenditure_share,Agriculture_share,Human capital development_share
2013,4,1201.1208308869982,610.584428255998,8.007925712,2013-04-01,92.706781665758,2.94443973574086,640.226715013477,467.233716681482,94.3837346685928,,,99.1290376277034,2578.01169263981,-29.6422867574793,560.8941158735212,-0.5709160280217729,-12.162044682008188,1.8760867091616353,1.0,0.5083455490527929,0.004599057906664951,0.14480305100015467,0.14480305100015467,0.004599057906664951
2013,5,1258.240788656577,640.650104548577,16.179321861,2013-05-01,82.9468352299103,3.80678203502562,664.392122466934,523.159861936209,67.6566624414299,,,98.9481528313519,2586.11348761546,-439.323896877357,593.848666189643,4.755554670332129,3.774507824614637,1.8938225576556234,1.0,0.5091633575419207,0.005729721810804701,0.12484620516258224,0.12484620516258224,0.005729721810804701
2013,6,1696.9423948207702,861.99928882682,13.410256152,2013-06-01,96.2783233690063,3.601153057,1183.20089280887,924.391669851127,190.625241562638,,,99.6780987766975,2593.08150594265,-339.941728874052,513.7415020119001,34.86626805610036,78.08773656369723,1.4341963441155787,1.0,0.5079720392735333,0.003043568576466344,0.08137107058839817,0.08137107058839817,0.003043568576466344
2013,7,1271.9355589775,659.675127638498,12.81003062,2013-07-01,212.35892621756,0.778851531,1169.52997535709,977.408161718011,123.258475554083,,,99.8977196004937,2588.90052048496,-512.011205566591,102.40558362040997,-25.04544863399203,-1.1554181149513676,1.0875613158945692,1.0,0.5186387965824355,0.0006659526026788625,0.18157630047294931,0.18157630047294931,0.0006659526026788625
2013,8,1328.744306959099,684.600937490099,10.211380336,2013-08-01,47.057810143813,4.090152042,971.312806357115,601.576806511184,295.614538022953,,,100.202900219566,2578.87150811025,-286.809894717016,357.431500601984,4.466322808623047,-16.948447083577634,1.367988044904424,1.0,0.5152239854610132,0.00421095245036459,0.04844763688466352,0.04844763688466352,0.00421095245036459
2013,9,1234.699417700888,629.287283131888,12.104590108,2013-09-01,37.5190283292045,1.483396034,786.829040381851,616.116909557141,93.3653014760833,,,100.82913078053,2568.86421408837,-157.700162163964,447.87037731903706,-7.07772659989322,-18.993239332153557,1.5692092619022855,1.0,0.5096684052088343,0.0018852837883056562,0.04768383778895144,0.04768383778895144,0.0018852837883056562
2013,10,1361.690397809859,729.468153399859,8.740275605,2013-10-01,128.149856557721,2.442804015,892.430997679426,515.452787582016,291.178787968426,,,100.603272454919,2534.39184378998,-173.979910306659,469.25940013043294,10.285173726366414,13.4212073878623,1.5258214935951806,1.0,0.5357077897979854,0.002737246937132377,0.1435963753959096,0.1435963753959096,0.002737246937132377
2013,11,1315.384730235763,703.254412878763,8.713031539,2013-11-01,94.7749661294524,3.229657447,1163.51840757843,996.029449073445,95.3083236610833,,,101.501462041299,2523.27262143086,-460.263994699663,151.86632265733306,-3.400601755624766,30.37628798236596,1.1305233519883922,1.0,0.534637811062863,0.002775768243943572,0.08145549353765925,0.08145549353765925,0.002775768243943572
2013,12,1811.4738355584511,991.223108234451,10.218774233,2013-12-01,66.8720172951138,2.121141858,860.824400970858,685.259447797182,99.2827842841667,,,101.729621319005,2512.93726101084,130.398707263593,950.6494345875931,37.71437313505772,-26.01540333492043,2.104347685213649,1.0,0.5471915126661884,0.002464081937742153,0.07768369160968715,0.07768369160968715,0.002464081937742153
2014,1,1397.639925806525,712.079094251525,12.419683082,2014-01-01,65.0509559646325,2.30755095,1051.49376273679,625.068131000834,345.539519336083,,,102.22817817457,2499.90389076533,-375.026542223033,346.14616306973517,-22.84514971337398,22.149623262408745,1.3291946898180342,1.0,0.5094868006440294,0.0021945455425184737,0.06186527991884633,0.06186527991884633,0.0021945455425184737
